,number_in_list,fold_enrichment,fdr,expected,number_in_reference,pValue,plus_minus,id,label
47,61,1.7124695715676728,0.05185580538710996,35.62107088662476,104,0.0011324288710560864,+,GO:0034660,ncRNA metabolic process
48,28,2.3356962025316457,0.0536510304478785,11.987860394537178,35,0.0011960420800482467,+,GO:0051168,nuclear export
57,27,2.318521965748325,0.06319029492608107,11.6453500975504,34,0.001667441813336079,+,GO:0002181,cytoplasmic translation
58,185,1.3173896264279097,0.0637626293800724,140.4292217645784,410,0.0017115537458709154,+,GO:0016192,vesicle-mediated transport
59,988,1.1022486855661375,0.07444583379914255,896.3494472143942,2617,0.0020321883657636727,+,GO:0006807,nitrogen compound metabolic process
62,183,1.3127530868037196,0.07903949260490475,139.40169087361804,407,0.0022654631638348494,+,GO:0044248,cellular catabolic process
68,181,1.3016041030117853,0.09719337197296943,139.05918057663126,406,0.0030511113130731985,+,GO:1901575,organic substance catabolic process
69,25,2.2809533227848102,0.10266830183600484,10.960329503576848,32,0.0032696911412740393,+,GO:0042274,ribosomal small subunit biogenesis
71,132,1.366630756800431,0.10342390060990289,96.58790375027097,282,0.0033878620763935436,+,GO:0061024,membrane organization
72,31,2.011293952180028,0.10349240623751307,15.412963364404943,45,0.0034371909259956574,+,GO:0006417,regulation of translation
73,426,1.1722509216287478,0.10452938594423856,363.40342510296983,1061,0.003519187697849706,+,GO:0051234,establishment of localization
74,49,1.7031118143459916,0.10566372793897263,28.770864946889226,84,0.0036054502253971554,+,GO:0006091,generation of precursor metabolites and energy
76,47,1.7152768987341773,0.11446118967275735,27.400823758942117,80,0.004009786899364111,+,GO:0034470,ncRNA processing
79,100,1.4172913850313384,0.11752109529055217,70.55712117927595,206,0.004277382904114729,+,GO:0045184,establishment of protein localization
80,84,1.468551504585765,0.11646429971603732,57.19921959679168,167,0.0042919054945400464,+,GO:0030029,actin filament-based process
81,81,1.4780577531645571,0.1208526928397304,54.801647517884234,160,0.004508608195112781,+,GO:0030036,actin cytoskeleton organization
82,37,1.8309482943574338,0.1223603147057997,20.208107522219816,59,0.004620521437935111,+,GO:0051169,nuclear transport
83,37,1.8309482943574338,0.1209036442926354,20.208107522219816,59,0.004620521437935111,+,GO:0006913,nucleocytoplasmic transport
84,94,1.4368811717144943,0.12191770344588666,65.4194667244743,191,0.004714742853912815,+,GO:0034622,cellular protein-containing complex assembly
85,98,1.4164494297531018,0.12331391416082549,69.18707999132886,202,0.004824839225582799,+,GO:0065003,protein-containing complex assembly
87,198,1.2677298467688207,0.12228229743112466,156.1846954259701,456,0.004895742572310724,+,GO:0033036,macromolecule localization
88,419,1.167290921828196,0.12312299012853221,358.9507912421418,1048,0.004985416797743115,+,GO:0006810,transport
90,100,1.4036635832521909,0.13057741282285454,71.24214177324951,208,0.005406071231519456,+,GO:0019752,carboxylic acid metabolic process
91,101,1.3975433439318494,0.13642961788954147,72.26967266420985,211,0.005710429866168251,+,GO:0043436,oxoacid metabolic process
92,528,1.141050698498065,0.13711889244382175,462.73141122913506,1351,0.005801663784019756,+,GO:0051179,localization
96,2073,1.0429730802705717,0.14784469687397464,1987.5872534142638,5803,0.0065245384880689445,+,GO:0008150,biological_process
97,166,1.285562233488903,0.14641736766299712,129.12638196401474,377,0.006528162889432992,+,GO:0071702,organic substance transport
98,151,1.3004798177812629,0.15456028575932823,116.11099067851723,339,0.006961541533290943,+,GO:0007010,cytoskeleton organization
99,97,1.4019958641433763,0.15605358705730796,69.18707999132886,202,0.007099799229176886,+,GO:0015031,protein transport
100,1120,1.080269138931055,0.15719934320300263,1036.7786689789725,3027,0.007223445706780377,+,GO:0071704,organic substance metabolic process
102,603,1.124939944190561,0.15466415093683494,536.0286147843052,1565,0.007247683142171974,+,GO:0046483,heterocycle metabolic process
103,1170,1.0772487216028166,0.15619576982142835,1086.1001517450684,3171,0.007390518681268676,+,GO:0008152,metabolic process
104,533,1.134225652286231,0.1648847130719206,469.92412746585734,1372,0.007876658267766908,+,GO:1901564,organonitrogen compound metabolic process
109,181,1.2642374780449397,0.16321836302794543,143.16930414047258,418,0.008168343918595996,+,GO:0022607,cellular component assembly
110,605,1.1222174416547377,0.17102464511509896,539.1112074571862,1574,0.008636822387523195,+,GO:0006725,cellular aromatic compound metabolic process
111,110,1.3550980077978956,0.16952805570160043,81.17494038586604,237,0.008638372265049704,+,GO:0016050,vesicle organization
112,576,1.1256367241116365,0.1687852723650756,511.7103836982441,1494,0.008677313820406525,+,GO:0010467,gene expression
114,31,1.8855880801687763,0.17156800567094346,16.440494255365273,48,0.008976488012810964,+,GO:0034248,regulation of cellular amide metabolic process
117,160,1.2763367226948883,0.1703321669619206,125.3587686971602,366,0.009144311056190459,+,GO:0008104,protein localization
118,1022,1.082674854402822,0.17408756748766774,943.9583784955561,2756,0.009425123080542521,+,GO:0044238,primary metabolic process
120,18,2.2849201981287837,0.19836235204768438,7.877736830695859,23,0.010919856504899824,+,GO:0006405,RNA export from nucleus
121,616,1.1156861513333542,0.20977642277817027,552.1265987426838,1612,0.011643641300699168,+,GO:1901360,organic cyclic compound metabolic process
122,586,1.1189649891134275,0.20971217491428076,523.6982440927812,1529,0.01173548567536694,+,GO:0006139,nucleobase-containing compound metabolic process
123,103,1.348524152806948,0.2129218405526305,76.37979622805115,223,0.012011969166754405,+,GO:0006082,organic acid metabolic process
130,18,2.1897151898734175,0.21786397072667107,8.220247127682637,24,0.012984613359960833,+,GO:0042273,ribosomal large subunit biogenesis
131,33,1.7517721518987341,0.22559095272690272,18.838066334272707,55,0.013547773321178872,+,GO:0006457,protein folding
132,19,2.2189113924050634,0.22846414336028964,8.562757424669412,25,0.01382426345173727,+,GO:0030490,maturation of SSU-rRNA
133,21,2.04373417721519,0.24336214813722762,10.275308909603295,30,0.01483645489098658,+,GO:0033627,cell adhesion mediated by integrin
135,36,1.6683544303797466,0.24426524402969085,21.57814871016692,63,0.015113773060981781,+,GO:0010608,posttranscriptional regulation of gene expression
140,47,1.5418219314464514,0.27290023261979246,30.48341643182311,89,0.017506338853225997,+,GO:0006520,cellular amino acid metabolic process
141,19,2.0545475855602437,0.27212075617906967,9.247778018642965,27,0.01758013984414372,+,GO:0006403,RNA localization
144,79,1.3811377245508982,0.27436490742650227,57.19921959679168,167,0.018099595803841143,+,GO:0006886,intracellular protein transport
148,22,1.9464135021097047,0.2816173857950255,11.302839800563625,33,0.01909053252204677,+,GO:0007160,cell-matrix adhesion
149,22,1.9464135021097047,0.279739936556392,11.302839800563625,33,0.01909053252204677,+,GO:0015931,nucleobase-containing compound transport
152,36,1.6422863924050635,0.29710815525659034,21.920659007153695,64,0.020681322909125714,+,GO:0046395,carboxylic acid catabolic process
153,36,1.6422863924050635,0.29517888152115795,21.920659007153695,64,0.020681322909125714,+,GO:0022411,cellular component disassembly
154,30,1.7174236783320924,0.29784658253798757,17.4680251463256,51,0.021003739896900853,+,GO:0006338,chromatin remodeling
156,18,2.102126582278481,0.2962942652151432,8.562757424669412,25,0.021163876086795944,+,GO:0050658,RNA transport
157,18,2.102126582278481,0.2944189850555537,8.562757424669412,25,0.021163876086795944,+,GO:0050657,nucleic acid transport
158,18,2.102126582278481,0.2925672933256445,8.562757424669412,25,0.021163876086795944,+,GO:0051236,establishment of RNA localization
159,22,1.8891660461653017,0.2928199855830434,11.6453500975504,34,0.021315376566554568,+,GO:0043624,cellular protein complex disassembly
160,53,1.4737130801687763,0.2971619096912656,35.96358118361153,105,0.021766636697130918,+,GO:0007015,actin filament organization
161,36,1.6170204479065238,0.2971403593167741,22.263169304140472,65,0.02190024486320173,+,GO:0016054,organic acid catabolic process
162,50,1.5049588933837923,0.29607440332019974,33.22349880771732,97,0.021956382047858304,+,GO:0044270,cellular nitrogen compound catabolic process
163,50,1.5049588933837923,0.29426907159263754,33.22349880771732,97,0.021956382047858304,+,GO:0046700,heterocycle catabolic process
165,47,1.524690576652602,0.30357242840911874,30.825926728809886,90,0.022926762109150917,+,GO:0044282,small molecule catabolic process
166,23,1.8653129395218004,0.31271915322855326,12.330370691523953,36,0.023759826473688985,+,GO:0007229,integrin-mediated signaling pathway
172,140,1.253824648598276,0.3331427088135603,111.65835681768914,326,0.02622096843710006,+,GO:0070727,cellular macromolecule localization
173,140,1.253824648598276,0.3312280955445168,111.65835681768914,326,0.02622096843710006,+,GO:0034613,cellular protein localization
176,32,1.6683544303797468,0.32715334676174884,19.180576631259484,56,0.026344923738320997,+,GO:0046034,ATP metabolic process
177,29,1.6933797468354432,0.3362734408599743,17.125514849338824,50,0.027232335065093462,+,GO:0071824,protein-DNA complex subunit organization
182,30,1.684396299902629,0.35726762515916793,17.81053544331238,52,0.029745211739821534,+,GO:0006401,RNA catabolic process
183,33,1.6330079382106841,0.35709285109366856,20.208107522219816,59,0.02989312311248181,+,GO:0044087,regulation of cellular component biogenesis
186,17,1.9853417721518989,0.3837838470921913,8.562757424669412,25,0.03265131001193802,+,GO:0017148,negative regulation of translation
187,37,1.5655934690882407,0.38404116798028337,23.633210492087578,69,0.03284792519576582,+,GO:0006325,chromatin organization
189,28,1.7031118143459913,0.3885454255653288,16.440494255365273,48,0.03358672923449157,+,GO:0032984,protein-containing complex disassembly
190,174,1.2066839051083917,0.39095878196501715,144.1968350314329,421,0.03397321535728766,+,GO:0044281,small molecule metabolic process
191,15,2.0854430379746836,0.38954568851789784,7.1927162367223065,21,0.03402764886052611,+,GO:0009185,ribonucleoside diphosphate metabolic process
192,15,2.0854430379746836,0.3875273170747999,7.1927162367223065,21,0.03402764886052611,+,GO:0009179,purine ribonucleoside diphosphate metabolic process
193,15,2.0854430379746836,0.38552975358472363,7.1927162367223065,21,0.03402764886052611,+,GO:0009135,purine nucleoside diphosphate metabolic process
194,15,2.0854430379746836,0.3835526779253148,7.1927162367223065,21,0.03402764886052611,+,GO:0006757,ATP generation from ADP
195,15,2.0854430379746836,0.3815957765073285,7.1927162367223065,21,0.03402764886052611,+,GO:0006096,glycolytic process
196,15,2.0854430379746836,0.3796587421088141,7.1927162367223065,21,0.03402764886052611,+,GO:0046031,ADP metabolic process
197,25,1.7378691983122363,0.3785441857795647,14.385432473444613,42,0.034099976698978074,+,GO:0031589,cell-substrate adhesion
198,28,1.6683544303797466,0.38901076579813504,16.78300455235205,49,0.035219810006291576,+,GO:0006575,cellular modified amino acid metabolic process
203,71,1.3637699866755495,0.38783526045983374,52.06156514199003,152,0.035995629269247535,+,GO:0006900,vesicle budding from membrane
204,62,1.3924342745861733,0.39232274589436555,44.526338608280945,130,0.036590610968309796,+,GO:0051640,organelle localization
206,92,1.2976090014064698,0.39670864824959773,70.89963147626273,207,0.037360641577646375,+,GO:0044265,cellular macromolecule catabolic process
207,62,1.381805005314523,0.3949089589217249,44.868848905267726,131,0.03737082049850718,+,GO:0009117,nucleotide metabolic process
210,23,1.7671385742838108,0.39648225301424855,13.015391285497508,38,0.03806085322384278,+,GO:0099504,synaptic vesicle cycle
211,23,1.7671385742838108,0.39461205370757757,13.015391285497508,38,0.03806085322384278,+,GO:0016052,carbohydrate catabolic process
212,23,1.7671385742838108,0.3927594149577767,13.015391285497508,38,0.03806085322384278,+,GO:0099003,vesicle-mediated transport in synapse
218,54,1.4076740506329113,0.3953129592442806,38.36115326251897,112,0.03938741495655025,+,GO:0009259,ribonucleotide metabolic process
219,11,2.293987341772152,0.40024684118250997,4.795144157814871,14,0.04006110330307197,+,GO:0031647,regulation of protein stability
221,10,2.6542002301495975,0.40011906372555595,3.7676132668545415,11,0.04041238951186234,+,GO:0000387,spliceosomal snRNP assembly
224,18,1.8768987341772152,0.40386644742449923,9.590288315629742,28,0.041342106765474215,+,GO:0031497,chromatin assembly
227,103,1.2688644982107566,0.419088856985771,81.17494038586604,237,0.04347236551080791,+,GO:0009057,macromolecule catabolic process
228,56,1.3855824930272471,0.42448038388567366,40.41621504443963,118,0.04422475337116436,+,GO:0019693,ribose phosphate metabolic process
229,33,1.553991425071458,0.4231214323500611,21.23563841318014,62,0.044275673084856255,+,GO:1901605,alpha-amino acid metabolic process
234,16,1.9464135021097044,0.416658420325654,8.220247127682637,24,0.044547192346009415,+,GO:0006413,translational initiation
235,16,1.9464135021097044,0.4148929185446131,8.220247127682637,24,0.044547192346009415,+,GO:0046939,nucleotide phosphorylation
236,30,1.5925201380897585,0.4190410485535979,18.838066334272707,55,0.045183224980528985,+,GO:1903311,regulation of mRNA metabolic process
237,53,1.4067261219792866,0.426445581137868,37.676132668545414,110,0.04617563617416405,+,GO:1901361,organic cyclic compound catabolic process
238,10,2.433016877637131,0.428864428656134,4.110123563841318,12,0.0466326653543294,+,GO:0006458,'de novo' protein folding
241,27,1.6087703435804699,0.43788830154223446,16.78300455235205,49,0.04821154184404947,+,GO:0071103,DNA conformation change
243,12,2.189715189873418,0.43509685125879016,5.480164751788424,16,0.04830010541726333,+,GO:0030042,actin filament depolymerization
249,74,1.3173896264279097,0.4464684909393709,56.17168870583135,164,0.05078122053450533,+,GO:0055086,nucleobase-containing small molecule metabolic process
250,35,1.5251747591158133,0.45239675955545766,22.948189898114027,67,0.0516613224060145,+,GO:0010256,endomembrane system organization
251,17,1.9089824732229794,0.45063097783106637,8.90526772165619,26,0.05166469809528149,+,GO:0034249,negative regulation of cellular amide metabolic process
254,104,1.259919113398813,0.4477590830601932,82.54498157381313,241,0.051946572420541064,+,GO:0019637,organophosphate metabolic process
255,22,1.6903064623584276,0.45921972641682784,13.015391285497508,38,0.053485100074025446,+,GO:0009060,aerobic respiration
258,65,1.3364458905330718,0.4552640766445201,48.636462172122265,142,0.05364576699314409,+,GO:0006753,nucleoside phosphate metabolic process
263,52,1.392846359307862,0.4622386838782068,37.33362237155864,109,0.05551911398719136,+,GO:0009150,purine ribonucleotide metabolic process
264,12,2.060908413998511,0.4664656848564818,5.8226750487752,17,0.056239038438110865,+,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
265,10,2.245861733203505,0.4651450525311855,4.452633860828095,13,0.05629143947829633,+,GO:0051053,negative regulation of DNA metabolic process
266,10,2.245861733203505,0.4634029362295706,4.452633860828095,13,0.05629143947829633,+,GO:0000460,maturation of 5.8S rRNA
267,10,2.245861733203505,0.46167382079587815,4.452633860828095,13,0.05629143947829633,+,GO:0050821,protein stabilization
272,513,1.0956585149037439,0.46678714511072206,468.21157598092344,1367,0.0579767473226693,+,GO:0090304,nucleic acid metabolic process
276,7,2.919620253164557,0.46413353948341524,2.3975720789074355,7,0.058491806386217475,+,GO:0000054,ribosomal subunit export from nucleus
278,49,1.4025626706378753,0.47056689316095224,34.9360502926512,102,0.059730738485853356,+,GO:0140352,export from cell
280,58,1.3547037974683545,0.46848328780974513,42.81378712334706,125,0.05989254043427588,+,GO:0048193,Golgi vesicle transport
282,20,1.7174236783320924,0.46589298511557803,11.6453500975504,34,0.05998531155036787,+,GO:0006323,DNA packaging
283,13,2.1086146272855135,0.4657276956703008,6.1651853457619765,18,0.06017591700198609,+,GO:0051403,stress-activated MAPK cascade
284,13,2.1086146272855135,0.46409356340479097,6.1651853457619765,18,0.06017591700198609,+,GO:0031098,stress-activated protein kinase signaling cascade
285,454,1.1027517428757976,0.46422946579552704,411.6973769781054,1202,0.060404743957015804,+,GO:0016070,RNA metabolic process
286,15,1.9041001651073197,0.4653749191287017,7.877736830695859,23,0.06076551491807889,+,GO:0030833,regulation of actin filament polymerization
287,15,1.9041001651073197,0.46375903399283813,7.877736830695859,23,0.06076551491807889,+,GO:0006165,nucleoside diphosphate phosphorylation
288,15,1.9041001651073197,0.46215433145307055,7.877736830695859,23,0.06076551491807889,+,GO:1901607,alpha-amino acid biosynthetic process
291,18,1.8121780881711045,0.4748195961451728,9.932798612616518,29,0.06307885444694743,+,GO:0006333,chromatin assembly or disassembly
293,41,1.4250527426160338,0.47632042544669845,28.770864946889226,84,0.06371164926357113,+,GO:0034655,nucleobase-containing compound catabolic process
294,18,1.7517721518987341,0.5000687398790963,10.275308909603295,30,0.06711568619851382,+,GO:0051261,protein depolymerization
297,15,1.824762658227848,0.4983697666778007,8.220247127682637,24,0.06756787555504304,+,GO:0008652,cellular amino acid biosynthetic process
298,9,2.3887802071346376,0.4972182504143145,3.7676132668545415,11,0.06763796946036399,+,GO:0051085,chaperone cofactor-dependent protein refolding
299,9,2.3887802071346376,0.4955608562462668,3.7676132668545415,11,0.06763796946036399,+,GO:0061077,chaperone-mediated protein folding
300,9,2.3887802071346376,0.4939144746640533,3.7676132668545415,11,0.06763796946036399,+,GO:0002183,cytoplasmic translational initiation
301,11,2.141054852320675,0.4973245077710324,5.137654454801647,15,0.06833121080384522,+,GO:0007254,JNK cascade
302,11,2.141054852320675,0.49568317276188706,5.137654454801647,15,0.06833121080384522,+,GO:0031124,mRNA 3'-end processing
303,11,2.141054852320675,0.4940526360093809,5.137654454801647,15,0.06833121080384522,+,GO:0000380,"alternative mRNA splicing, via spliceosome"
305,343,1.1164211224475398,0.4943162162321831,307.2317363971385,897,0.06881745321521748,+,GO:0044267,cellular protein metabolic process
306,21,1.6570817653096137,0.49876026743630675,12.672880988510729,37,0.06966305828159516,+,GO:0008154,actin polymerization or depolymerization
307,21,1.6570817653096137,0.4971409159186564,12.672880988510729,37,0.06966305828159516,+,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport
308,24,1.5925201380897585,0.4969527691921439,15.070453067418166,44,0.06986278693374544,+,GO:0006402,mRNA catabolic process
309,16,1.8685569620253166,0.49841083078362064,8.562757424669412,25,0.07029452117512393,+,GO:0006352,"DNA-templated transcription, initiation"
313,63,1.3232811219378926,0.5108149039619768,47.60893128116194,139,0.07297355770885383,+,GO:0010324,membrane invagination
314,63,1.3232811219378926,0.5091932693462244,47.60893128116194,139,0.07297355770885383,+,GO:0006897,endocytosis
320,7,2.5546677215189875,0.5092084990218695,2.740082375894212,8,0.07436575440674253,+,GO:0051123,RNA polymerase II preinitiation complex assembly
321,16,1.7966893865628042,0.5105656780296531,8.90526772165619,26,0.07479624582600014,+,GO:0030832,regulation of actin filament length
322,16,1.7966893865628042,0.5089849793360628,8.90526772165619,26,0.07479624582600014,+,GO:0008064,regulation of actin polymerization or depolymerization
323,16,1.7966893865628042,0.5074140380418157,8.90526772165619,26,0.07479624582600014,+,GO:0034728,nucleosome organization
325,22,1.646965271015904,0.5104439164980654,13.357901582484283,39,0.07570733247423536,+,GO:0110053,regulation of actin filament organization
326,64,1.3158851845248707,0.5094546299049028,48.636462172122265,142,0.07579238579567935,+,GO:0090407,organophosphate biosynthetic process
333,11,2.007238924050633,0.5129039162208975,5.480164751788424,16,0.0779389936386623,+,GO:0006406,mRNA export from nucleus
334,11,2.007238924050633,0.5113728597545664,5.480164751788424,16,0.0779389936386623,+,GO:0061640,cytoskeleton-dependent cytokinesis
335,54,1.3360974039905598,0.5122773433342411,40.41621504443963,118,0.07830991235682666,+,GO:0006163,purine nucleotide metabolic process
337,9,2.1897151898734175,0.5177498643587009,4.110123563841318,12,0.07961758605697948,+,GO:0000469,cleavage involved in rRNA processing
338,9,2.1897151898734175,0.5162225786231295,4.110123563841318,12,0.07961758605697948,+,GO:1902475,L-alpha-amino acid transmembrane transport
339,9,2.1897151898734175,0.5147042769212967,4.110123563841318,12,0.07961758605697948,+,GO:0019646,aerobic electron transport chain
343,14,1.8579401611047182,0.5290400586825855,7.535226533709083,22,0.08279789817416261,+,GO:0022900,electron transport chain
344,14,1.8579401611047182,0.5275066092371288,7.535226533709083,22,0.08279789817416261,+,GO:0006367,transcription initiation from RNA polymerase II promoter
346,17,1.772626582278481,0.5350293852417795,9.590288315629742,28,0.08446551259276501,+,GO:0000956,nuclear-transcribed mRNA catabolic process
351,46,1.3565912287431274,0.5326152377876182,33.908519401690874,99,0.0852959798458788,+,GO:0019439,aromatic compound catabolic process
352,38,1.4223790976955535,0.536175356524435,26.715803164968566,78,0.08611005498322365,+,GO:0006906,vesicle fusion
353,38,1.4223790976955535,0.534660736873236,26.715803164968566,78,0.08611005498322365,+,GO:0090174,organelle membrane fusion
354,901,1.0590087955319105,0.538749069065032,850.7955777151528,2484,0.08701361215563529,+,GO:0043170,macromolecule metabolic process
361,43,1.3796007789678677,0.5452661569229788,31.16843702579666,91,0.08980270646320215,+,GO:0072594,establishment of protein localization to organelle
367,12,1.9464135021097049,0.5410099095180781,6.1651853457619765,18,0.09057854718046077,+,GO:0048488,synaptic vesicle endocytosis
369,27,1.515956669912366,0.5425643214531625,17.81053544331238,52,0.09133248359311652,+,GO:0015980,energy derivation by oxidation of organic compounds
370,58,1.3025998052580332,0.5464951854227214,44.526338608280945,130,0.09224281792166952,+,GO:0043632,modification-dependent macromolecule catabolic process
379,17,1.654451476793249,0.5537627222288325,10.275308909603295,30,0.0957369583471139,+,GO:0043254,regulation of protein-containing complex assembly
380,17,1.654451476793249,0.552309276763665,10.275308909603295,30,0.0957369583471139,+,GO:0050684,regulation of mRNA processing
381,49,1.3370223589258252,0.5526015569894022,36.648601777585085,107,0.09603903310734832,+,GO:0032787,monocarboxylic acid metabolic process
382,10,2.0854430379746836,0.5561006380959762,4.795144157814871,14,0.09690015668369377,+,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
383,10,2.0854430379746836,0.5546524593509347,4.795144157814871,14,0.09690015668369377,+,GO:0061157,mRNA destabilization
384,10,2.0854430379746836,0.5532118036123608,4.795144157814871,14,0.09690015668369377,+,GO:0061014,positive regulation of mRNA catabolic process
385,10,2.0854430379746836,0.5517786124112924,4.795144157814871,14,0.09690015668369377,+,GO:0050779,RNA destabilization
386,10,2.0854430379746836,0.5503528278830979,4.795144157814871,14,0.09690015668369377,+,GO:0030261,chromosome condensation
387,31,1.4366385372714485,0.5515723477037217,21.57814871016692,63,0.09736581933987443,+,GO:0099500,vesicle fusion to plasma membrane
388,31,1.4366385372714485,0.5501544239307044,21.57814871016692,63,0.09736581933987443,+,GO:0140029,exocytic process
389,31,1.4366385372714485,0.5487437715616513,21.57814871016692,63,0.09736581933987443,+,GO:0006887,exocytosis
390,8,2.3356962025316457,0.5555174572520548,3.4251029698677646,10,0.09882043939288145,+,GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
391,8,2.3356962025316457,0.5541003208815138,3.4251029698677646,10,0.09882043939288145,+,GO:0045910,negative regulation of DNA recombination
392,8,2.3356962025316457,0.5526903964008993,3.4251029698677646,10,0.09882043939288145,+,GO:0006378,mRNA polyadenylation
393,8,2.3356962025316457,0.5512876288973437,3.4251029698677646,10,0.09882043939288145,+,GO:0006206,pyrimidine nucleobase metabolic process
394,24,1.5232801320858558,0.5509600150154302,15.755473661391719,46,0.09901237758466559,+,GO:1902903,regulation of supramolecular fiber organization
396,15,1.7517721518987344,0.5550796284931903,8.562757424669412,25,0.10025778549217314,+,GO:0032271,regulation of protein polymerization
397,15,1.7517721518987344,0.5536849560597903,8.562757424669412,25,0.10025778549217314,+,GO:0090501,RNA phosphodiester bond hydrolysis
404,33,1.4168745346239762,0.5870386157926055,23.2907001951008,68,0.10816680591265024,+,GO:0010629,negative regulation of gene expression
405,10,1.9464135021097047,0.5861731768733851,5.137654454801647,15,0.1082740263014533,+,GO:0042773,ATP synthesis coupled electron transport
406,10,1.9464135021097047,0.5847329479375782,5.137654454801647,15,0.1082740263014533,+,GO:0007029,endoplasmic reticulum organization
407,6,2.5025316455696203,0.5864296465580956,2.3975720789074355,7,0.10885500263680754,+,GO:0000470,maturation of LSU-rRNA
